ORDER_NUMBER,LINE_NUMBER,CUSTOMER_NAME,CUSTOMER_TYPE,PO_NUMBER,INVOICE_NUMBER,ORDER_CREATED_DATE,PRINTED_DATE,ESTIMATED_SHIP_DATE,ACTUAL_SHIP_DATE,INVOICE_DATE,ITEM_SKU,LINE_DESCRIPTION,MATERIAL,ORDER_STATUS,INVOICE_STATUS,QTY_ORDERED,QTY_TO_DELIVER,QTY_DELIVERED,QTY_PRINTED,QTY_INVOICED,ACT_UNIT_PRICE,ORDERED_SALES,PRODUCED_SALES,PRODUCED_COST,INVOICED_REVENUE,UOM,TOTAL_YARDS,YARDS_INVOICED,INK_USAGE,INK_TOTAL_COST,SHIPPING_TOTAL,TAX_TOTAL,AMOUNT_PAID,PAYMENT_STATUS,FLAGS,FLAGS_TEXT,PATTERN_WIDTH,PATTERN_HEIGHT,ORDER_TYPE,PRINTED_WIDTH,PRINTED_HEIGHT,CORRECT_AMOUNT_PRINTED,STORAGE_TYPE,CUT_OPTION,Source Data
53406,,China Seas,,53406,SI-53406,9/13/2022,9/27/2022,,,9/27/2022,GC2/49PLUSP,GRASS CLOTH 2 COLOR 21+ ROLLS,,Invoiced,APPROVED,96,,,96,96,9.25,888,,,888,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53407,,China Seas,,53407,SI-53407,9/13/2022,9/27/2022,,,9/27/2022,W4/48-96P,Wall Paper 4 Color Min 6 Rolls 48-29,,Invoiced,APPROVED,48,,,48,48,23.25,1116,,,1116,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53408,,China Seas,,53408,SI-53408,9/13/2022,9/27/2022,,,9/27/2022,3/10/2025P,3 Colors 10-25 Yards Printed,,Invoiced,APPROVED,23,,,23,23,21.5,494.5,,,494.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53414,,China Seas,,53414,SI-53414,9/14/2022,9/28/2022,,,9/28/2022,7/26/1950P,7 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,APPROVED,49,,,49,49,28.5,1396.5,,,1396.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53415,,China Seas,,53415,SI-53415,9/14/2022,9/28/2022,,,9/28/2022,4/26/1950P,4 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,APPROVED,38,,,38,38,22.5,855,,,855,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53416,,China Seas,,53416,SI-53416,9/14/2022,9/28/2022,,,9/28/2022,2/26/1950P,2 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,APPROVED,48,,,48,48,20.25,972,,,972,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53426,,China Seas,,53426,SI-53426,9/15/2022,9/29/2022,,,9/29/2022,2/26/1950P,2 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,APPROVED,36,,,36,36,20.25,729,,,729,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53444,,China Seas,,53444,SI-53444,9/16/2022,9/30/2022,,,9/30/2022,6/26/1950P,6 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,APPROVED,47,,,47,47,25.5,1198.5,,,1198.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53445,,China Seas,,53445,SI-53445,9/16/2022,9/30/2022,,,9/30/2022,W4/24-48P,Wall Paper 4 Color Min 6 Rolls 24-48,,Invoiced,APPROVED,18,,,18,18,23.75,427.5,,,427.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53461,,China Seas,,53461,SI-53461,9/20/2022,10/4/2022,,,10/4/2022,1/26/1950P,1 Color 26-50 Yards Printed,,Invoiced,APPROVED,38,,,38,38,19.5,741,,,741,,,,,,,,,,,,,,Screen Print,,,,,,Everest
