ORDER_NUMBER,LINE_NUMBER,CUSTOMER_NAME,CUSTOMER_TYPE,PO_NUMBER,INVOICE_NUMBER,ORDER_CREATED_DATE,PRINTED_DATE,ESTIMATED_SHIP_DATE,ACTUAL_SHIP_DATE,INVOICE_DATE,ITEM_SKU,LINE_DESCRIPTION,MATERIAL,ORDER_STATUS,INVOICE_STATUS,QTY_ORDERED,QTY_PRINTED,QTY_TO_DELIVER,QTY_DELIVERED,QTY_INVOICED,ACT_UNIT_PRICE,ORDERED_SALES,PRODUCED_SALES,PRODUCED_COST,INVOICED_REVENUE,UOM,TOTAL_YARDS,YARDS_INVOICED,INK_USAGE,INK_TOTAL_COST,SHIPPING_TOTAL,TAX_TOTAL,AMOUNT_PAID,PAYMENT_STATUS,FLAGS,FLAGS_TEXT,PATTERN_WIDTH,PATTERN_HEIGHT,ORDER_TYPE,CORRECT_AMOUNT_PRINTED,PRINTED_WIDTH,PRINTED_HEIGHT,STORAGE_TYPE,CUT_OPTION,Source Data,Product Type,Memo Yield,Yield,Type Yards vs Fees,Act Print Date,Single Kit Order Number,All Kit Order Number,Kitted vs NOT Kitted,Schu Grounds,Category Customer MTO,Single Ground Price,Kit Ground Price,Kit Produced Income,Calc Yards Produced,Schu Ground Yards,Order-Line,Unit Price Ordered,Ground Direct No Print,Division,New Goods Flag,Holding to Invoice,Single Held to Invoice,New Goods,WIP,Machine Name,Manual Machine Name,Machine Name Combined
54017,,Quadrille Inc.,,54017,SI-54017,12/2/2022,12/16/2022,,,12/16/2022,2/10/2025P,2 Colors 10-25 Yards Printed,,Invoiced,Approved,25,25,,,25,20.75,518.75,,,518.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44911,,,NOT Kitted,,Fabric,0,0,0,25,,54017-,20.75,0,Screen Print,,DONE,DONE,Other,DONE,,,
54018,,Quadrille Inc.,,54018,SI-54018,12/2/2022,12/16/2022,,,12/16/2022,2/51-100P,2 Colors 51-100 Yds Min 10 Yards Printed,,Invoiced,Approved,66,66,,,66,19.75,1303.5,,,1303.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44911,,,NOT Kitted,,Fabric,0,0,0,66,,54018-,19.75,0,Screen Print,,DONE,DONE,Other,DONE,,,
54019,,Quadrille Inc.,,54019,SI-54019,12/2/2022,12/16/2022,,,12/16/2022,3/10/2025P,3 Colors 10-25 Yards Printed,,Invoiced,Approved,25,25,,,25,21.5,537.5,,,537.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44911,,,NOT Kitted,,Fabric,0,0,0,25,,54019-,21.5,0,Screen Print,,DONE,DONE,Other,DONE,,,
54026,,Quadrille Inc.,,54026,SI-54026,12/5/2022,12/19/2022,,,12/19/2022,3/26/1950P,3 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,Approved,50,50,,,50,21,1050,,,1050,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44914,,,NOT Kitted,,Fabric,0,0,0,50,,54026-,21,0,Screen Print,,DONE,DONE,Other,DONE,,,
54027,,Quadrille Inc.,,54027,SI-54027,12/5/2022,12/19/2022,,,12/19/2022,1/10/2025P,1 Color 10-25 Yards Printed,,Invoiced,Approved,25,25,,,25,20,500,,,500,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44914,,,NOT Kitted,,Fabric,0,0,0,25,,54027-,20,0,Screen Print,,DONE,DONE,Other,DONE,,,
54034,,Quadrille Inc.,,54034,SI-54034,12/6/2022,12/20/2022,,,12/20/2022,3/10/2025P,3 Colors 10-25 Yards Printed,,Invoiced,Approved,24,24,,,24,21.5,516,,,516,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44915,,,NOT Kitted,,Fabric,0,0,0,24,,54034-,21.5,0,Screen Print,,DONE,DONE,Other,DONE,,,
54062,,Quadrille Inc.,,54062,SI-54062,12/9/2022,12/23/2022,,,12/23/2022,5/26/1950P,5 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,Approved,36,36,,,36,24,864,,,864,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44918,,,NOT Kitted,,Fabric,0,0,0,36,,54062-,24,0,Screen Print,,DONE,DONE,Other,DONE,,,
54063,,Quadrille Inc.,,54063,SI-54063,12/9/2022,12/23/2022,,,12/23/2022,1/10/2025P,1 Color 10-25 Yards Printed,,Invoiced,Approved,18,18,,,18,20,360,,,360,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44918,,,NOT Kitted,,Fabric,0,0,0,18,,54063-,20,0,Screen Print,,DONE,DONE,Other,DONE,,,
54074,,Quadrille Inc.,,54074,SI-54074,12/20/2022,1/3/2023,,,1/3/2023,2/10/2025P,2 Colors 10-25 Yards Printed,,Invoiced,Approved,18,18,,,18,20.75,373.5,,,373.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44929,,,NOT Kitted,,Fabric,0,0,0,18,,54074-,20.75,0,Screen Print,,DONE,DONE,Other,DONE,,,
54095,,Quadrille Inc.,,54095,SI-54095,12/22/2022,1/5/2023,,,1/5/2023,2/26/1950P,2 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,Approved,36,36,,,36,20.25,729,,,729,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44931,,,NOT Kitted,,Fabric,0,0,0,36,,54095-,20.25,0,Screen Print,,DONE,DONE,Other,DONE,,,
