Vendor,Order Type,Material Shu vs Non Shu,Order Type Screen All Together,MATERIAL,Substrate Description,Current vs Old Sku,Replacement Ground,Material Group,Material Color,Material Group - Color,Product Type,Material Width,Cost Per Yard,Avg Sisal Cost Per Yard,All Grounds Cost Per Yard,Curr Vendor Cost Per Yard,FOB Cost Per Yard,On Hand Yards,BNY On Hand,Para On Hand,2025 Ground,3rd Party Price,Schumacher Price,Lead Time (in weeks),Lead Time in Months
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004725 Caribbean,HARUKI SISAL 5004725 CARIBBEAN,Current,PNW5004725 Caribbean,HARUKI SISAL,Caribbean,HARUKI SISAL -Caribbean,GRASS,36,4.78,5.9,4.66,4.66,,612,0,612,PNW5004725 Caribbean,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004708 Celery,HARUKI SISAL 5004708 CELERY,Current,PNW5004708 Celery,HARUKI SISAL,Celery,HARUKI SISAL -Celery,GRASS,36,4.78,5.9,4.66,4.66,,292,0,292,PNW5004708 Celery,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004720 Charcoal,5004720 HARUKI SISAL CHARCOAL,Current,PNW5004720 Charcoal,HARUKI SISAL,Charcoal,HARUKI SISAL -Charcoal,GRASS,36,4.78,5.9,4.66,4.66,,4368,0,4368,PNW5004720 Charcoal,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5010855 Cloud,HARUKI SISAL CLOUD,Current,PNW5010855 Cloud,HARUKI SISAL,Cloud,HARUKI SISAL -Cloud,GRASS,36,4.78,5.9,4.66,4.66,,1496,0,1496,PNW5010855 Cloud,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004706 Cornflower,5004706 HARUKI SISAL: CORNFLOWER,Current,PNW5004706 Cornflower,HARUKI SISAL,Cornflower,HARUKI SISAL -Cornflower,GRASS,36,4.78,5.9,4.66,4.66,,2944,0,2944,PNW5004706 Cornflower,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5010852 Dove,HARUKI SISAL 5010852 DOVE,Current,PNW5010852 Dove,HARUKI SISAL,Dove,HARUKI SISAL -Dove,GRASS,36,4.78,5.9,4.66,4.66,,2282,0,2282,PNW5010852 Dove,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004702 Driftwood,HARUKI SISAL DRIFTWOOD,Current,PNW5004702 Driftwood,HARUKI SISAL,Driftwood,HARUKI SISAL -Driftwood,GRASS,36,4.78,5.9,4.66,4.66,,2016,0,2016,PNW5004702 Driftwood,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004729 Flax,5004729 HARUKI SISAL: FLAX,Current,PNW5004729 Flax,HARUKI SISAL,Flax,HARUKI SISAL -Flax,GRASS,36,4.78,5.9,4.66,4.66,,259,0,259,PNW5004729 Flax,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004724 Fog,HARUKI SISAL 5004724 FOG,Current,PNW5004724 Fog,HARUKI SISAL,Fog,HARUKI SISAL -Fog,GRASS,36,4.78,5.9,4.66,4.66,,2704,0,2704,PNW5004724 Fog,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004727 Garnet,HARUKI SISAL Color: GARNET,Current,PNW5004727 Garnet,HARUKI SISAL,Garnet,HARUKI SISAL -Garnet,GRASS,36,4.78,5.9,4.66,4.66,,1008,0,1008,PNW5004727 Garnet,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004718 Haze,5004718 HARUKI SISAL: HAZE,Current,PNW5004718 Haze,HARUKI SISAL,Haze,HARUKI SISAL -Haze,GRASS,36,4.78,5.9,4.66,4.66,,686,0,686,PNW5004718 Haze,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004722 Indigo,5004722 HARUKI SISAL: INDIGO,Current,PNW5004722 Indigo,HARUKI SISAL,INDIGO,HARUKI SISAL -Indigo,GRASS,36,4.78,5.9,4.66,4.66,,9526,0,9526,PNW5004722 Indigo,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004716 Ivory,5004716 HARUKI SISAL IVORY,Current,PNW5004716 Ivory,HARUKI SISAL,Ivory,HARUKI SISAL -Ivory,GRASS,36,4.78,5.9,4.78,4.78,,24714,2581,22133,PNW5004716 Ivory,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004715 Jet,HARUKI SISAL JET,Current,PNW5004715 Jet,HARUKI SISAL,Jet,HARUKI SISAL -Jet,GRASS,36,4.78,5.9,4.66,4.66,,1296,0,1296,PNW5004715 Jet,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004719 Mandarin,5004719 HARUKI SISAL Mandarin,Current,PNW5004719 Mandarin,HARUKI SISAL,Mandarin,HARUKI SISAL -Mandarin,GRASS,36,4.78,5.9,4.66,4.66,,758,0,758,PNW5004719 Mandarin,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004726 (Mauve),HAUKI SISAL 5004726,Current,PNW5004726 (Mauve),HARUKI SISAL,Mauve,HARUKI SISAL -Mauve,GRASS,36,4.78,5.9,4.65,4.66,,453,0,453,PNW5004726 (Mauve),9,7,8-10 weeks,6
