ITEM_SKU,LINE_DESCRIPTION,COLOR,PRODUCT_TYPE,FINISHED_WIDTH,FINISHED_HEIGHT,PRINTED_WIDTH,PRINTED_HEIGHT,PRODUCT_SIZE,PANEL_COUNT,PRODUCT_NAME,MATERIAL,UOM,HISTORICAL_YIELD,MATERIAL_COST,UNIT_PRICE,QTY,PRODUCT_DESCRIPTION,STATUS,NUMBER_UP,CUT_OPTION,SPECIAL_DETAILS,FORMAT,PATTERN_WIDTH,PATTERN_HEIGHT,BOLT_SIZE,ORDER_TYPE,NUMBER_OF_COLORS,STORAGE_TYPE,Source
7810C-05,Lim Diagonal,French Blue Navy,Fabric,,,60,36,,,Lim Diagonal 7810C-05 (French Blue Navy),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6430T-01,NEW BATIK,French Blue Navy,Fabric,,,60,36,,,NEW BATIK 6430T-01 (FRENCH BLUE NAVY),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC910T-07,Coco II,Dove Gray,Fabric,,,60,36,,,Coco II AC910T-07 (Dove Gray),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
304180F-110,BORGHESE,French Green,Fabric,,,60,36,,,Borghese 304180F-110 (French Green),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC910T-05,Coco II,French Green,Fabric,,,60,36,,,Coco II AC910T-05 (French Green),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC101-10,Ferns Uni,Forest Green,Fabric,,,60,36,,,Ferns Uni AC101-10 (Forest Green),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
DK1070F-04,Panama II,Fern Green,Fabric,,,60,36,,,Panama II DK1070F-04 (Fern Green),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC115-10,Juan Les Pins,Brown,Fabric,,,60,36,,,Juan Les Pins AC115-10 (Brown),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
8030L-10,MALAY FLORAL,Brown,Fabric,,,60,36,,,MALAY FLORAL 8030L-10 (BROWN),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC709-06,MOJAVE,Brown,Fabric,,,60,36,,,Mojave AC709-06 (Brown),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2110-16,Nairobi,Brown,Fabric,,,60,36,,,Nairobi 2110-16 (Brown),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
301983F,Paradise Background,Brown,Fabric,,,60,36,,,Paradise Background 301983F (Brown),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
8210-09,PASSY II,Brown,Fabric,,,60,36,,,PASSY II 8210-09 (BROWN),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC804B-04,Potalla Background,Brown,Fabric,,,60,36,,,Potalla Background AC804B-04 (Brown),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC804L-16,POTALLA OUTLINE,Brown,Fabric,,,60,36,,,Potalla Outline AC804L-16 (Brown),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306278FLC,Tropique Multi Blotch,Multi Blues Tur,Fabric,,,60,36,,,Tropique Multi Blotch 306278FLC (Multi Blues Tur),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC811-03,ARUBA II,Grey,Fabric,,,60,36,,,Aruba II AC811-03 (Grey),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
8230-02,Florals,Grey,Fabric,,,60,36,,,Florals 8230-02 (Grey),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
